workload_id,method_id,task_count,event_count,accepted_event_count,nonaccepted_event_count,failure_rate,reject_safety_filter_count,reject_safety_filter_rate,reject_budget_no_feasible_count,reject_budget_no_feasible_rate,reject_numerical_count,reject_numerical_rate,other_terminal_count,evaluation_failure_count,scheduled_cfe,charged_cfe,unconsumed_cfe,scheduled_atomic_model_steps,charged_atomic_model_steps,wall_seconds_median,cpu_seconds_median,peak_rss_bytes_median,output_bytes_median,executed_event_count,execution_observation_available_count,execution_observation_missing_count,execution_observation_availability_rate,hard_violation_event_count,hard_violation_observed_rate,hard_violation_fas_lower,hard_violation_fas_upper,analysis_status
E1_STATIC,MATCHED_FIXED_DE_PARETO,140,140,140,0,0,0,0,0,0,0,0,0,0,7000000,7000000,0,7000000,7000000,7.2427609849983128,5.572963764999999,85096448,42569,0,0,0,,0,,,,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
E1_STATIC,MATCHED_JDE_STYLE_PARETO,140,140,140,0,0,0,0,0,0,0,0,0,0,7000000,7000000,0,7000000,7000000,8.2561375699988275,5.6514428784999993,87195648,42570,0,0,0,,0,,,,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
E1_STATIC,MATCHED_SHADE_STYLE_PARETO,140,140,140,0,0,0,0,0,0,0,0,0,0,7000000,7000000,0,7000000,7000000,8.264153633501337,6.2457442690000002,86204416,42575,0,0,0,,0,,,,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CROSS_EVENT_MEMORY_ONLY,150,9000,8595,405,0.044999999999999998,0,0,0,0,405,0.044999999999999998,0,405,45000000,42977374,2022626,45000000,42977374,66.527190217500902,64.349499090999998,69935104,2294248,9000,0,9000,0,0,,0,1,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CROSS_EVENT_WARM_START_ONLY,150,9000,8595,405,0.044999999999999998,0,0,0,0,405,0.044999999999999998,0,405,45000000,42978499,2021501,45000000,42978499,60.288303134500893,57.767206501499999,68550656,2294260,9000,0,9000,0,0,,0,1,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,NO_CROSS_EVENT_MEMORY,150,9000,8595,405,0.044999999999999998,0,0,0,0,405,0.044999999999999998,0,405,45000000,42977374,2022626,45000000,42977374,60.338952709500518,58.060446008,68392960,2294242,9000,0,9000,0,0,,0,1,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,NO_LINEAGE_CREDIT,150,9000,8595,405,0.044999999999999998,0,0,0,0,405,0.044999999999999998,0,405,45000000,42978499,2021501,45000000,42978499,66.445310028000677,63.835309479499998,69980160,2294231,9000,0,9000,0,0,,0,1,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,NO_MEMORY_RESET_GATE,150,9000,8595,405,0.044999999999999998,0,0,0,0,405,0.044999999999999998,0,405,45000000,42978499,2021501,45000000,42978499,65.614187031498659,63.677385404999995,69894144,2294241,9000,0,9000,0,0,,0,1,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,NO_REJECTION_CREDIT,150,9000,8595,405,0.044999999999999998,0,0,0,0,405,0.044999999999999998,0,405,45000000,42978499,2021501,45000000,42978499,66.402861240001585,63.745037034999996,69634048,2294238,9000,0,9000,0,0,,0,1,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,SHADE_ONLY,150,9000,8595,405,0.044999999999999998,0,0,0,0,405,0.044999999999999998,0,405,45000000,42977374,2022626,45000000,42977374,60.369021762000557,58.265688636500002,68542464,2294209,9000,0,9000,0,0,,0,1,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
