hypothesis_index,hypothesis_id,family_id,cluster_id,expected_nested_pairs,valid_nested_pairs,cluster_effect_available,cluster_effect,cluster_worst_case_bound,cluster_best_case_bound
3,E1_STATIC__F22_MG_STATIC__VS__MATCHED_SHADE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP6,10,10,true,0.0016649555881676041,0.0016649555881676041,0.0016649555881676041
3,E1_STATIC__F22_MG_STATIC__VS__MATCHED_SHADE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP7,10,10,true,0.033161507419178483,0.033161507419178483,0.033161507419178483
3,E1_STATIC__F22_MG_STATIC__VS__MATCHED_SHADE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP8,10,10,true,-0.035230072788150359,-0.035230072788150359,-0.035230072788150359
3,E1_STATIC__F22_MG_STATIC__VS__MATCHED_SHADE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP9,10,10,true,-0.012648451505465947,-0.012648451505465947,-0.012648451505465947
4,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_GDE3_STANDARD_PARETO_DE__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP1,10,10,true,0.0078420869178733275,0.0078420869178733275,0.0078420869178733275
4,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_GDE3_STANDARD_PARETO_DE__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP10,10,10,true,0.007047647186259472,0.007047647186259472,0.007047647186259472
4,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_GDE3_STANDARD_PARETO_DE__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP11,10,10,true,0.026545956247790749,0.026545956247790749,0.026545956247790749
4,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_GDE3_STANDARD_PARETO_DE__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP12,10,10,true,-0.0067653400255487852,-0.0067653400255487852,-0.0067653400255487852
4,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_GDE3_STANDARD_PARETO_DE__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP13,10,10,true,6.1627307913796943e-05,6.1627307913796943e-05,6.1627307913796943e-05
4,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_GDE3_STANDARD_PARETO_DE__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP14,10,10,true,0.0002381116077229155,0.0002381116077229155,0.0002381116077229155
4,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_GDE3_STANDARD_PARETO_DE__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP2,10,10,true,0.022835775814779108,0.022835775814779108,0.022835775814779108
4,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_GDE3_STANDARD_PARETO_DE__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP3,10,10,true,0.029315203113324178,0.029315203113324178,0.029315203113324178
4,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_GDE3_STANDARD_PARETO_DE__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP4,10,10,true,0.055694903561531804,0.055694903561531804,0.055694903561531804
4,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_GDE3_STANDARD_PARETO_DE__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP5,10,10,true,0,0,0
4,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_GDE3_STANDARD_PARETO_DE__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP6,10,10,true,0.0016649555881676041,0.0016649555881676041,0.0016649555881676041
4,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_GDE3_STANDARD_PARETO_DE__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP7,10,10,true,0.080719091745436775,0.080719091745436775,0.080719091745436775
4,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_GDE3_STANDARD_PARETO_DE__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP8,10,10,true,-0.010305259459817825,-0.010305259459817825,-0.010305259459817825
4,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_GDE3_STANDARD_PARETO_DE__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP9,10,10,true,-0.021896984558183674,-0.021896984558183674,-0.021896984558183674
5,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_NSGAII_STATIC_CMOEA__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP1,10,10,true,0.025386872887338034,0.025386872887338034,0.025386872887338034
5,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_NSGAII_STATIC_CMOEA__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP10,10,10,true,0.13090500739968094,0.13090500739968094,0.13090500739968094
5,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_NSGAII_STATIC_CMOEA__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP11,10,10,true,0.089952124721405083,0.089952124721405083,0.089952124721405083
5,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_NSGAII_STATIC_CMOEA__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP12,10,10,true,0.047205830042017012,0.047205830042017012,0.047205830042017012
5,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_NSGAII_STATIC_CMOEA__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP13,10,10,true,3.1288720665810864e-05,3.1288720665810864e-05,3.1288720665810864e-05
