task_id,schedule_index,workload_id,unit_id,method_id,replicate_index,task_status,outcome_class,terminal_failure_event_count,terminal_code_counts_json,evaluation_failure_count,scheduled_cfe,charged_cfe,unconsumed_cfe,scheduled_atomic_model_steps,charged_atomic_model_steps,charged_work_exact,event_summary_trailing_fragment_present,event_summary_trailing_fragment_bytes,event_summary_trailing_fragment_sha256,wall_seconds,cpu_seconds,peak_rss_bytes,output_bytes,automatic_retries
r8c-0037-9f2b8b90384fe3a3,37,E1_STATIC,LIRCMOP1,MATCHED_FIXED_DE_PARETO,6,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,7.094928958002129,5.2969191470000005,83537920,42572,0
r8c-0038-8f5e60d058952af2,38,E1_STATIC,LIRCMOP1,MATCHED_JDE_STYLE_PARETO,6,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,8.157040086996858,5.467122570999999,84127744,42571,0
r8c-0039-be84c5f5842b627f,39,E1_STATIC,LIRCMOP1,MATCHED_SHADE_STYLE_PARETO,6,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,8.157058958000562,6.011139303,85622784,42571,0
r8c-0040-1ac14a3e1c86696d,40,E1_STATIC,LIRCMOP1,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,6,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,15.358390223998867,12.641817181,107130880,42896,0
r8c-0041-59a42ec799a68e56,41,E1_STATIC,LIRCMOP1,JMETALPY_1_7_NSGAII_STATIC_CMOEA,6,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,15.358476334000443,12.98664333,108724224,42978,0
r8c-0042-6bc369440ae5a463,42,E1_STATIC,LIRCMOP1,F22_MG_STATIC,7,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,12.243589581001288,10.552810621999999,97705984,42179,0
r8c-0043-57d1b22ba5ee3760,43,E1_STATIC,LIRCMOP1,MATCHED_FIXED_DE_PARETO,7,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,7.0905570540016924,5.331162607,84291584,42566,0
r8c-0044-d4ed0c767221a913,44,E1_STATIC,LIRCMOP1,MATCHED_JDE_STYLE_PARETO,7,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,8.153450245998101,5.889779617,108695552,42565,0
r8c-0045-886744a502293570,45,E1_STATIC,LIRCMOP1,MATCHED_SHADE_STYLE_PARETO,7,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,8.153438625002309,6.024642942,85131264,42571,0
r8c-0046-26f4b776291f8d9d,46,E1_STATIC,LIRCMOP1,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,7,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,15.354549089999637,12.622849577,107868160,42896,0
