task_id,schedule_index,workload_id,unit_id,method_id,replicate_index,task_status,endpoint_status,anytime_nhv_auc,final_nhv,transfer_early_auc,timeout_carried_forward_event_count
r8c-0073-ba030363a028aa53,73,E1_STATIC,LIRCMOP2,MATCHED_FIXED_DE_PARETO,2,COMPLETE,INCLUDED,0.4499347762574015,0.5074989710246424,,0
r8c-0074-920abfcfd8a71d53,74,E1_STATIC,LIRCMOP2,MATCHED_JDE_STYLE_PARETO,2,COMPLETE,INCLUDED,0.4448967699635484,0.4630724037865733,,0
r8c-0075-a8a9b6e63feb2c0a,75,E1_STATIC,LIRCMOP2,MATCHED_SHADE_STYLE_PARETO,2,COMPLETE,INCLUDED,0.4378792000328729,0.4743175936647359,,0
r8c-0076-8cf4dd05b2a67b07,76,E1_STATIC,LIRCMOP2,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,2,COMPLETE,INCLUDED,0.48397233314272403,0.5441841570999981,,0
r8c-0077-0d768cd34f4ebc53,77,E1_STATIC,LIRCMOP2,JMETALPY_1_7_NSGAII_STATIC_CMOEA,2,COMPLETE,INCLUDED,0.3874248535057178,0.42902149081871166,,0
r8c-0078-9a756622888f541f,78,E1_STATIC,LIRCMOP2,F22_MG_STATIC,3,COMPLETE,INCLUDED,0.44143732245335415,0.45745677992446715,,0
r8c-0079-8fe627967f583232,79,E1_STATIC,LIRCMOP2,MATCHED_FIXED_DE_PARETO,3,COMPLETE,INCLUDED,0.41353543340705207,0.45836184952551473,,0
r8c-0080-93369cd636a0c16d,80,E1_STATIC,LIRCMOP2,MATCHED_JDE_STYLE_PARETO,3,COMPLETE,INCLUDED,0.40278208314287656,0.4229462129114034,,0
r8c-0081-86f5ed2b860268b5,81,E1_STATIC,LIRCMOP2,MATCHED_SHADE_STYLE_PARETO,3,COMPLETE,INCLUDED,0.40914060544473696,0.4511433643593743,,0
r8c-0082-959bbaed5c703f2a,82,E1_STATIC,LIRCMOP2,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,3,COMPLETE,INCLUDED,0.4205421834378012,0.5377742792602184,,0
r8c-0083-4f64e655a395f6a9,83,E1_STATIC,LIRCMOP2,JMETALPY_1_7_NSGAII_STATIC_CMOEA,3,COMPLETE,INCLUDED,0.4044014809730191,0.4155827594406698,,0
r8c-0084-7eacc88938493e16,84,E1_STATIC,LIRCMOP2,F22_MG_STATIC,4,COMPLETE,INCLUDED,0.44460747743758544,0.45936485532429444,,0
r8c-0085-a99db58068fe7068,85,E1_STATIC,LIRCMOP2,MATCHED_FIXED_DE_PARETO,4,COMPLETE,INCLUDED,0.4512860778533165,0.46893492910259477,,0
r8c-0086-180b7343bdcb9c29,86,E1_STATIC,LIRCMOP2,MATCHED_JDE_STYLE_PARETO,4,COMPLETE,INCLUDED,0.4169295604717682,0.45260822724526945,,0
r8c-0087-b3661a00682d758c,87,E1_STATIC,LIRCMOP2,MATCHED_SHADE_STYLE_PARETO,4,COMPLETE,INCLUDED,0.4244523544917925,0.46716987822904643,,0
r8c-0088-dd5ffe541d7ee8f3,88,E1_STATIC,LIRCMOP2,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,4,COMPLETE,INCLUDED,0.3969967599256572,0.5013631141056054,,0
r8c-0089-6726325cb38d7535,89,E1_STATIC,LIRCMOP2,JMETALPY_1_7_NSGAII_STATIC_CMOEA,4,COMPLETE,INCLUDED,0.4244979248667817,0.4368681459950427,,0
r8c-0090-a851f80bed681057,90,E1_STATIC,LIRCMOP2,F22_MG_STATIC,5,COMPLETE,INCLUDED,0.4379394924819163,0.45103206503952914,,0
r8c-0091-cd810670c344e4ff,91,E1_STATIC,LIRCMOP2,MATCHED_FIXED_DE_PARETO,5,COMPLETE,INCLUDED,0.43344424675424886,0.49899819533316003,,0
r8c-0092-c5879315d8e7a1b7,92,E1_STATIC,LIRCMOP2,MATCHED_JDE_STYLE_PARETO,5,COMPLETE,INCLUDED,0.4015385882898742,0.4439942703484154,,0
r8c-0093-97294d7b24123c4b,93,E1_STATIC,LIRCMOP2,MATCHED_SHADE_STYLE_PARETO,5,COMPLETE,INCLUDED,0.3872541001930255,0.4511260093931602,,0
r8c-0094-140d945a52902c01,94,E1_STATIC,LIRCMOP2,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,5,COMPLETE,INCLUDED,0.4060486333651,0.47685591137226124,,0
r8c-0095-4b6d57e5998a845e,95,E1_STATIC,LIRCMOP2,JMETALPY_1_7_NSGAII_STATIC_CMOEA,5,COMPLETE,INCLUDED,0.3883346688256306,0.40095624862251256,,0
r8c-0096-063c3e351119c9b0,96,E1_STATIC,LIRCMOP2,F22_MG_STATIC,6,COMPLETE,INCLUDED,0.4106353531330791,0.44711381105327536,,0
r8c-0097-d9ac915f04fd0907,97,E1_STATIC,LIRCMOP2,MATCHED_FIXED_DE_PARETO,6,COMPLETE,INCLUDED,0.3565731756022817,0.49120792611427355,,0
r8c-0098-23f2c0d64bff1f2c,98,E1_STATIC,LIRCMOP2,MATCHED_JDE_STYLE_PARETO,6,COMPLETE,INCLUDED,0.41164685065340606,0.43737493058112953,,0
r8c-0099-b30a7d8beecf4ab8,99,E1_STATIC,LIRCMOP2,MATCHED_SHADE_STYLE_PARETO,6,COMPLETE,INCLUDED,0.4503259059157939,0.47148949424175457,,0
r8c-0100-6fa9072a153e43d9,100,E1_STATIC,LIRCMOP2,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,6,COMPLETE,INCLUDED,0.39072394274906735,0.5016342323778841,,0
r8c-0101-23d8438beed5764e,101,E1_STATIC,LIRCMOP2,JMETALPY_1_7_NSGAII_STATIC_CMOEA,6,COMPLETE,INCLUDED,0.41196674125013794,0.4236105739396033,,0
r8c-0102-9703d33827288d9e,102,E1_STATIC,LIRCMOP2,F22_MG_STATIC,7,COMPLETE,INCLUDED,0.451030790248332,0.4887060507924051,,0
r8c-0103-0338e0e828dd7543,103,E1_STATIC,LIRCMOP2,MATCHED_FIXED_DE_PARETO,7,COMPLETE,INCLUDED,0.4036581571489392,0.45541397457111116,,0
r8c-0104-e5f9f38a5e54c406,104,E1_STATIC,LIRCMOP2,MATCHED_JDE_STYLE_PARETO,7,COMPLETE,INCLUDED,0.39231424200274057,0.42412587463556006,,0
r8c-0105-b925c7308c7ddf0e,105,E1_STATIC,LIRCMOP2,MATCHED_SHADE_STYLE_PARETO,7,COMPLETE,INCLUDED,0.45507676401623254,0.47829216548147896,,0
r8c-0106-2d641592d04ecb77,106,E1_STATIC,LIRCMOP2,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,7,COMPLETE,INCLUDED,0.47469563607994203,0.5071264168973726,,0
r8c-0107-2f68d30ed6246381,107,E1_STATIC,LIRCMOP2,JMETALPY_1_7_NSGAII_STATIC_CMOEA,7,COMPLETE,INCLUDED,0.41687069575666297,0.42933358902446545,,0
r8c-0108-959d1a8b59a89b5b,108,E1_STATIC,LIRCMOP2,F22_MG_STATIC,8,COMPLETE,INCLUDED,0.4559133170417294,0.4714716991699848,,0
r8c-0109-e3a22d1a7c20275c,109,E1_STATIC,LIRCMOP2,MATCHED_FIXED_DE_PARETO,8,COMPLETE,INCLUDED,0.4885689152573013,0.5280175090876567,,0
r8c-0110-603e60d0ec3aaacd,110,E1_STATIC,LIRCMOP2,MATCHED_JDE_STYLE_PARETO,8,COMPLETE,INCLUDED,0.4064807878550724,0.42083698237706585,,0
r8c-0111-2796a2376cc5c744,111,E1_STATIC,LIRCMOP2,MATCHED_SHADE_STYLE_PARETO,8,COMPLETE,INCLUDED,0.45433158013067304,0.5050540337424836,,0
r8c-0112-75595309ada114d1,112,E1_STATIC,LIRCMOP2,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,8,COMPLETE,INCLUDED,0.4537854669822279,0.5169417373065565,,0
r8c-0113-2ab787a8407930de,113,E1_STATIC,LIRCMOP2,JMETALPY_1_7_NSGAII_STATIC_CMOEA,8,COMPLETE,INCLUDED,0.4216225446891284,0.44331913057610517,,0
r8c-0114-5e2af40c65916daf,114,E1_STATIC,LIRCMOP2,F22_MG_STATIC,9,COMPLETE,INCLUDED,0.4488961375199947,0.4653681926109884,,0
r8c-0115-bed6ba1d872e3def,115,E1_STATIC,LIRCMOP2,MATCHED_FIXED_DE_PARETO,9,COMPLETE,INCLUDED,0.44519336551884653,0.4797710768651876,,0
r8c-0116-24e01c218cf6e453,116,E1_STATIC,LIRCMOP2,MATCHED_JDE_STYLE_PARETO,9,COMPLETE,INCLUDED,0.378435305599044,0.38871438968411676,,0
r8c-0117-2e10cdd76538974c,117,E1_STATIC,LIRCMOP2,MATCHED_SHADE_STYLE_PARETO,9,COMPLETE,INCLUDED,0.41815954723150056,0.45588075318700777,,0
