task_id,schedule_index,workload_id,unit_id,method_id,replicate_index,task_status,endpoint_status,post_execution_hard_violation_rate,hard_violation_event_count,executed_event_count,execution_observation_available_event_count,execution_observation_missing_event_count,durably_completed_event_count
r8c-0105-b925c7308c7ddf0e,105,E1_STATIC,LIRCMOP2,MATCHED_SHADE_STYLE_PARETO,7,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0106-2d641592d04ecb77,106,E1_STATIC,LIRCMOP2,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,7,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0107-2f68d30ed6246381,107,E1_STATIC,LIRCMOP2,JMETALPY_1_7_NSGAII_STATIC_CMOEA,7,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0108-959d1a8b59a89b5b,108,E1_STATIC,LIRCMOP2,F22_MG_STATIC,8,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0109-e3a22d1a7c20275c,109,E1_STATIC,LIRCMOP2,MATCHED_FIXED_DE_PARETO,8,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0110-603e60d0ec3aaacd,110,E1_STATIC,LIRCMOP2,MATCHED_JDE_STYLE_PARETO,8,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0111-2796a2376cc5c744,111,E1_STATIC,LIRCMOP2,MATCHED_SHADE_STYLE_PARETO,8,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0112-75595309ada114d1,112,E1_STATIC,LIRCMOP2,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,8,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0113-2ab787a8407930de,113,E1_STATIC,LIRCMOP2,JMETALPY_1_7_NSGAII_STATIC_CMOEA,8,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0114-5e2af40c65916daf,114,E1_STATIC,LIRCMOP2,F22_MG_STATIC,9,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0115-bed6ba1d872e3def,115,E1_STATIC,LIRCMOP2,MATCHED_FIXED_DE_PARETO,9,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0116-24e01c218cf6e453,116,E1_STATIC,LIRCMOP2,MATCHED_JDE_STYLE_PARETO,9,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0117-2e10cdd76538974c,117,E1_STATIC,LIRCMOP2,MATCHED_SHADE_STYLE_PARETO,9,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0118-7bdc53790230a741,118,E1_STATIC,LIRCMOP2,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,9,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0119-df0fa577f11e7077,119,E1_STATIC,LIRCMOP2,JMETALPY_1_7_NSGAII_STATIC_CMOEA,9,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0120-a3f95a16d24b2320,120,E1_STATIC,LIRCMOP3,F22_MG_STATIC,0,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0121-209455c475b2af80,121,E1_STATIC,LIRCMOP3,MATCHED_FIXED_DE_PARETO,0,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0122-058a459096bb0b96,122,E1_STATIC,LIRCMOP3,MATCHED_JDE_STYLE_PARETO,0,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0123-5faec7f76175cabe,123,E1_STATIC,LIRCMOP3,MATCHED_SHADE_STYLE_PARETO,0,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
r8c-0124-1433f7b6617c4157,124,E1_STATIC,LIRCMOP3,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,0,COMPLETE,NOT_COMPUTED_NO_EXECUTED_EVENTS,,0,0,0,0,1
