workload_id,unit_id,replicate_index,full_task_id,full_method_id,comparator_task_id,comparator_method_id,pair_status,negative_transfer_rate,negative_transfer_event_count,paired_post_initial_event_count,strict_difference_threshold
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-HARSH,4,r8c-0864-19e2fb3f9d8c7eed,DT-RAMDE_TS2_FULL,r8c-2728-5264da246f34e1eb,NO_CROSS_EVENT_MEMORY,INCLUDED,0.0,0,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-HARSH,4,r8c-0864-19e2fb3f9d8c7eed,DT-RAMDE_TS2_FULL,r8c-2729-6c9d608938e13899,NO_REJECTION_CREDIT,INCLUDED,0.23728813559322035,14,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-HARSH,4,r8c-0864-19e2fb3f9d8c7eed,DT-RAMDE_TS2_FULL,r8c-2730-2846aaeb006151e2,NO_MEMORY_RESET_GATE,INCLUDED,0.1864406779661017,11,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-HARSH,4,r8c-0864-19e2fb3f9d8c7eed,DT-RAMDE_TS2_FULL,r8c-2731-26f3f2d4e1d455b1,NO_LINEAGE_CREDIT,INCLUDED,0.288135593220339,17,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-HARSH,4,r8c-0864-19e2fb3f9d8c7eed,DT-RAMDE_TS2_FULL,r8c-2732-d01fe4955d3bb0f1,CROSS_EVENT_WARM_START_ONLY,INCLUDED,0.2542372881355932,15,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-HARSH,4,r8c-0864-19e2fb3f9d8c7eed,DT-RAMDE_TS2_FULL,r8c-2733-1523abd6177ab878,CROSS_EVENT_MEMORY_ONLY,INCLUDED,0.0,0,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-HARSH,4,r8c-0864-19e2fb3f9d8c7eed,DT-RAMDE_TS2_FULL,r8c-2734-3b281d97ac5d581f,SHADE_ONLY,INCLUDED,0.0,0,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-MILD,0,r8c-0870-7b6d468eb884d4ed,DT-RAMDE_TS2_FULL,r8c-2735-ad111c29c40a77e6,NO_CROSS_EVENT_MEMORY,INCLUDED,0.0,0,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-MILD,0,r8c-0870-7b6d468eb884d4ed,DT-RAMDE_TS2_FULL,r8c-2736-cbe7bb608b2ed5de,NO_REJECTION_CREDIT,INCLUDED,0.2033898305084746,12,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-MILD,0,r8c-0870-7b6d468eb884d4ed,DT-RAMDE_TS2_FULL,r8c-2737-dddfb6dcea7ea3de,NO_MEMORY_RESET_GATE,INCLUDED,0.1694915254237288,10,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-MILD,0,r8c-0870-7b6d468eb884d4ed,DT-RAMDE_TS2_FULL,r8c-2738-fa467c7907e52d6f,NO_LINEAGE_CREDIT,INCLUDED,0.13559322033898305,8,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-MILD,0,r8c-0870-7b6d468eb884d4ed,DT-RAMDE_TS2_FULL,r8c-2739-4c90b260abe1a374,CROSS_EVENT_WARM_START_ONLY,INCLUDED,0.1016949152542373,6,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-MILD,0,r8c-0870-7b6d468eb884d4ed,DT-RAMDE_TS2_FULL,r8c-2740-f818ae94a1f182de,CROSS_EVENT_MEMORY_ONLY,INCLUDED,0.0,0,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-MILD,0,r8c-0870-7b6d468eb884d4ed,DT-RAMDE_TS2_FULL,r8c-2741-97a019ff691ae441,SHADE_ONLY,INCLUDED,0.0,0,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-MILD,1,r8c-0876-69b99a7723908088,DT-RAMDE_TS2_FULL,r8c-2742-a619fb05d4138593,NO_CROSS_EVENT_MEMORY,INCLUDED,0.0,0,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-MILD,1,r8c-0876-69b99a7723908088,DT-RAMDE_TS2_FULL,r8c-2743-d2968e5f24ab9a96,NO_REJECTION_CREDIT,INCLUDED,0.15254237288135594,9,59,-0.01
